record_id,name,original_role,decision,reason,replacement_or_note,citation
1,BNT162b2 (Polack 2020),included_primary,retain_corrected,Phase III RCT; human; sex-stratified Table 1. Enrollment 49.4% female (not 34.3%).,Numbers replaced from NEJM Table 1,10.1056/NEJMoa2034577
2,mRNA-1273 (Baden 2021),included_primary,retain_corrected,Phase III RCT; human; sex-stratified Table 1. Enrollment 47.3% female (not 35.2%).,Numbers replaced from NEJM Table 1,10.1056/NEJMoa2035389
3,ChAdOx1 nCoV-19 (Voysey 2021),included_primary,retain_corrected,Phase III RCT; human. Enrollment 60.5% female in efficacy set (not 35.8%). Healthcare-worker enriched; 50% benchmark inappropriate.,Expected share set to 0.70 (WHO health workforce),10.1016/S0140-6736(20)32661-1
4,rVSV-ZEBOV (Henao-Restrepo 2017),included_primary,retain_corrected,Phase III cluster RCT; human. Vaccinated immediately 32% women; enumerated contacts 43% women (not 33.1% of n=5837 as previously tabulated).,Pregnancy and breastfeeding excluded from eligibility,10.1016/S0140-6736(16)32621-6
5,ChAd3-EBO-Z (Tapia 2016),included_primary,exclude,Phase 1 safety/immunogenicity study in Malian and US adults; does not meet phase III/IV criterion.,Not replaced (not a pivotal efficacy RCT),10.1016/S1473-3099(15)00362-X
6,Ad26/MVA-BN-Filo (Milligan 2016),included_primary,exclude,Phase 1 randomized immunogenicity trial; not phase III/IV efficacy.,Not replaced,10.1001/jama.2016.4218
7,ZMapp (Qiu 2014),included_primary,exclude,Nonhuman-primate experiment; not a human trial. Human ZMapp data are in PALM (Mulangu 2019).,Replaced by PALM for human ZMapp/therapeutic RCT,10.1038/nature13777
8,PALM / remdesivir (Mulangu 2019),included_primary,retain_corrected,Phase 2/3 human RCT of EVD therapeutics including ZMapp. N=673 (not 5686); 55.6% female; pregnant women included.,Kept as the human therapeutic RCT; phase II/III noted,10.1056/NEJMoa1910993
9,HPTN 052 (Cohen 2011),included_primary,retain_corrected,Phase III RCT of 1763 HIV-infected index partners (not n=5876). Female index 49.5% (not 32.8%).,Numbers replaced from NEJM Table 1,10.1056/NEJMoa1105243
10,PARTNER (Rodger 2016),included_primary,exclude,Observational cohort of serodifferent couples; not a randomized trial.,Not replaced,10.1001/jama.2016.5148
11,VOICE (Marrazzo 2015),included_primary,move_secondary,Phase III RCT but women-only eligibility. Enrollment composition is the intended population (100% female) not a mixed-sex recruitment deficit.,Secondary sex-specific analysis; expected share=1.0,10.1056/NEJMoa1402269
12,iPrEx (Grant 2010),included_primary,move_secondary,Phase III RCT but MSM/transgender women who have sex with men; cisgender women ineligible. Previously tabulated as 35.9% female (impossible).,Secondary sex-specific analysis; expected cis-female share=0,10.1056/NEJMoa1011205
13,FEM-PrEP (Van Damme 2012),included_primary,move_secondary,Phase III RCT but women-only. Previously tabulated as 37.0% female (impossible).,Secondary sex-specific analysis; expected share=1.0,10.1056/NEJMoa1202614
14,TRIO / Peterson 2007,included_primary,exclude,Phase 2 trial of TDF in women (Peterson et al. PLoS Clin Trials). Does not meet phase III/IV. Title of source paper states phase 2.,Not replaced,10.1371/journal.pctr.0020027
15,Bangkok Tenofovir (Choopanya 2013),included_primary,retain_corrected,Phase III RCT. N=2413 (not 6184); 20.2% female among PWID (not 38.9%).,Expected share=0.20 given PWID sex composition,10.1016/S0140-6736(13)61127-7
A1,Ad26.COV2.S ENSEMBLE (Sadoff 2021),not_in_original,add_primary,Added: additional pivotal phase III COVID-19 vaccine RCT with Table 1 sex counts and mixed-sex adult indication.,Meets reconstructed eligibility,10.1056/NEJMoa2101544
A2,NVX-CoV2373 UK (Heath 2021),not_in_original,add_primary,Added: additional pivotal phase III COVID-19 vaccine RCT with Table 1 sex counts.,Meets reconstructed eligibility,10.1056/NEJMoa2107659
A3,Partners PrEP (Baeten 2012),not_in_original,add_primary,Added: pivotal phase III mixed-sex HIV PrEP RCT in heterosexual serodiscordant couples with extractable sex counts.,Meets reconstructed eligibility,10.1056/NEJMoa1108524
